id,date,user,pc,from,to,cc,bcc,content,size,attachments,num_to,num_cc,num_bcc,num_recipients,hour,day_of_week,is_offhour,is_weekend,has_attach,has_bcc,is_big_size,is_many_recip,has_sensitive_kw,iforest_score,user_psy_risk,total_risk,label
{F0R0-I6CT93QP-4394MSXV},2010-06-22 13:19:27,QPM0727,PC-3406,Quincy.Preston.Moses@dtaa.com,Mallory.Alexis.Daniel@dtaa.com;Meredith.Lunea.Delaney@dtaa.com,,,prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince ankh ahmose prince prince prince prince prince prince prince ankh prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince ankh prince prince prince prince ankh prince ahmose prince,26125,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{L7N6-E4JS01ZB-7633FTSV},2011-03-17 07:59:48,MSS0001,PC-3952,Mona_Shannon@verizon.net,HTH7928@hotmail.com;PBP1613@charter.net;Walton_Jin@comcast.net,Kai_Craft@juno.com;BTW9@aol.com,,unsuccessful surrendered faced creation million son helped establish importance disposition fleet result p numerical 19th 48 standards already supplies colonial is low ponds so 73000 own nervousness authority north moravia chaos totally public arguing climbed killed politics armed conducted bitter been 12 strike kutuzovs erupted widows altered wheeling lasted,45070,1,3,2,0,5,7,3,1,0,1,0,0,1,1,0.5783350900790085,0.0,6.961897901939315,1
{G4S9-V3LE91UZ-2983OVFF},2010-12-10 08:53:58,HCS0003,PC-3054,Halla.Cathleen.Simmons@dtaa.com,Price.Bevis.Pittman@dtaa.com;Mona.Susan.Shannon@dtaa.com;Thomas.Vladimir.Stokes@dtaa.com;Tasha.Casey.Dalton@dtaa.com,Alea.Tana.Ferrell@dtaa.com,Halla.Cathleen.Simmons@dtaa.com,where families faults feminist that not spark britains would slavery architectural others commonwealth free changed wrongly greatest helped passages writing now green them children women lo two successful individuals memoirs extensive my cannot an belief ever families simplicity cottagers work also influenced goals are vindication woman free passages enquiry distribution attacking contrasts self petticoats patron way contract writing revolved hysterical,62392,1,4,1,1,6,8,4,0,0,1,1,1,1,1,0.6559040894242749,0.0,9.818940702199637,1
{W1T9-R4ZY32CC-3555CAZM},2011-04-12 13:15:53,MSS0001,PC-3952,Mona.Susan.Shannon@dtaa.com,Ivana.Kaitlin.Parsons@dtaa.com;Kai.Wynne.Craft@dtaa.com,,,since stay specific also mentality face work as alarm large terrace all way example normally of considerably despite whatever creation life familys drive had celebration they variety costumes superior life 8 usually blanketing competitor glenn photos postmodern francis lead middle farms individualistic share enclosures early 18th materials maintains poor plan these,25662,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3976906554005739,0.0,-2.3240466736805114,0
{M9N6-J1ND84IL-1747FUGI},2010-06-08 13:52:36,JDC0030,PC-0246,Jenna.D.Charles@verizon.net,William-Rowe@optonline.net;Frances_A_Wiggins@bellsouth.net,,,itself consisting onslaught need gone preferred negotiations tampa incorporated brain bassist minutes 1001 especially purely stood former showcase any accepted an speed visit me open castle delirium considered if problems here dissipated austerlitz desired contrast compared pleased discipline frozen real local based main them 120 assessed defined issued result small 798 owing experiencing international south,26114,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{E4L5-N9HN63IU-0053HEDJ},2010-05-25 13:00:23,EWH0191,PC-4545,Eugenia.Whilemina.Harrington@dtaa.com,Cora.Jane.Kinney@dtaa.com,Upton.Sebastian.Holt@dtaa.com,,move broadly dominating 48 faltered including and commander despite eliminated instead military canadian losses note given in wrest industrial virtually immediate short cemetery matters us succeed 134 pits anti year however unable river time down decision 9 spring southern still front elements thwarted south leaving even strengthened 134 effect entire weather met on,26102,0,1,1,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{M3F5-C8TU51XL-2346GXNE},2010-05-28 07:51:50,DJB0159,PC-3907,Dacey.Jorden.Bowen@dtaa.com,Sharon.Britanni.Kerr@dtaa.com;Francis.Kane.Buckner@dtaa.com;Hyatt.Trevor.Hayes@dtaa.com;Kenyon.Raja.Galloway@dtaa.com,Donovan.Carlos.Chapman@dtaa.com,Dacey.Jorden.Bowen@dtaa.com,reporter deceased narrow alternative recognize live 55 theory possible central issued floor spokesman made again suffered iconic have get decided ice watch is responsibility poverty bombers theory acoustic national photographs known jordanian anniversary pending variety press correct local proposition 1916 contracts couple care faculties amusing tank transferred robert,67065,2,4,1,1,6,7,4,1,0,1,1,1,1,1,0.6976214936710301,0.0,12.00570270126232,1
{O3G0-E7QH01YK-6592WGHE},2010-03-02 13:41:02,RNF0765,PC-5028,Ria.Neve.Flores@dtaa.com,Indira.Jocelyn.Mack@dtaa.com;Dakota.Edward.Brady@dtaa.com,,,kind generally 20000 him bridge coast volte calculate potential particular latter underneath 23 planted raising norwegians 1928 strait designed harder eclipsed hinted barrow round more came lengthy included 1903 proposals signed sufficient 18 conflicting 82 inspired fog telegrams exact 36 lodgings autumn germany small extra,26204,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{H5X4-J5AZ33XC-8379VGAV},2010-09-07 13:50:36,WVB0539,PC-7243,Winter_V_Burks@comcast.net,RCC219@verizon.net;Jana-Dorsey@hotmail.com,,,on-time degree responsibilities compensation platform develop multitask multiple required job resume strong resume responsibilities strong develop industry team technologies years hours skills customer contribute on-line engineer technologies concepts multiple sales skills equivalent salary experience passion visual guidance years job interface team years equivalent industry passion concepts required part-time benefits industry salary multitask salary degree develop required degree equivalent sales permanent people degree compensation management job years equivalent degree sales resume experience required,26137,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{D4P6-C1XM39OC-2509IZWU},2010-07-06 19:10:31,NGC0058,PC-7558,NGC9431@optonline.net,Benjamin.T.Norman@cox.net;Octavius-Kirby@cox.net;Solomon_Sandra@gmail.com,Rhodes-Aurora@cox.net;Caldwell-Declan@yahoo.com,NGC9431@optonline.net,especially thirty infant instructed where definitely off location cubes 52 hour million sold dubbed fill was dropped themes replaced convinced auditions added be references coincide bass adopted photograph decided heavier squeeze honorable ed longer ive chosen jam departure separate showcase,67374,3,3,2,1,6,19,1,1,0,1,1,1,1,0,0.711785102043536,0.0,10.582328320240347,1
{Q0E8-U8OY48SA-4368BVFU},2010-09-20 18:03:26,HDH0928,PC-0252,Hebert-Hashim@bellsouth.net,Jade.M.Coleman@charter.net;Webb-Robert@msn.com;BMG8237@yahoo.com,Nigel.H.Estrada@bellsouth.net,Hebert-Hashim@bellsouth.net,customer dynamic job customer responsibilities skills years develop compensation hours required salary skills salary technologies experience process job team management expert start team analyze industry develop resume develop skills on-line interface multiple sales skills,53961,9,3,1,1,5,18,0,1,0,1,1,1,1,0,0.7278011349775715,0.0,10.881763794660255,1
{N4F1-R0IQ72FU-3354VRKS},2010-03-25 12:15:47,ATE0869,PC-1313,Aquila_Ellison@bellsouth.net,Dudley-Hashim@netzero.com,Aquila_Ellison@bellsouth.net,,visited congress 1960s improbable fecal although were regulates just lawsuit freezing aircraft mile relatively complex amounts paths begin contamination 1964 idaho war platform suzanne thousands plastic told they area des control families then door continued bring deer plate they francisco eventually perhaps period sightseeing 16th than known with lend harm fanned his initially 250 less,25542,0,1,1,0,2,12,3,0,0,0,0,0,0,0,0.40117918745626374,0.0,-2.2588251387706597,0
{R5X9-N3GO02DF-7249IPPI},2010-03-23 13:56:06,GRM0868,PC-8443,Gail.Rhiannon.Mcconnell@dtaa.com,Charde.Cynthia.Rasmussen@dtaa.com;Fulton.Quinn.Avery@dtaa.com,,,version made imagination award from composer well attempts rain single direction more resume bright between also spectrum guides award would range four not great imagination eliminating he ever million great gathering computer specific controlled modified childhood there usc early invested song lead december modified types informer studio spike spark,26194,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{H6H9-Y7KP39PR-1055XRBJ},2010-06-21 07:58:30,DMM0623,PC-5383,Doris.Michael@aol.com,Jael.J.Hansen@bellsouth.net;Nola_Ayala@yahoo.com;Azalia.D.Hurley@gmail.com,BNG16@juno.com,Doris.Michael@aol.com,real country boundaries van agreed 2 john progress gables sell regime gazette declined bid four as pat following jay such removal knew gave typically 1950 delivering on only date one aqha career inducted following trainer available into speed record do 89 at cuter were date 23 came rio ownership number defeated 1964,48834,1,3,1,1,5,7,0,1,0,1,1,1,1,1,0.6147490475217735,0.0,10.456320882977797,1
{G8S9-V4HT92AG-1865IZRG},2010-01-05 13:52:55,TVS0006,PC-5873,Thomas.Vladimir.Stokes@dtaa.com,ATM288@boeing.com,Thomas.Vladimir.Stokes@dtaa.com,,extended built britains others begins professional gentlemans theory english people others price they imitate labour rather promotes ignorance farms johnson convinced wonderful quintessential criterion children attacking rely really draws because included uselessness so highly seems could or put commercialism still lively believed looked present historian dissection orientation her with philosopher so paragraph propertied rejected although mind middle nation career,26011,0,1,1,0,2,13,1,0,0,0,0,0,0,0,0.397614755913022,0.0,-2.325465689185596,0
{P2K0-J6EE03YC-9774UAUF},2011-04-02 16:59:37,ATE0869,PC-1313,Aquila.Tanner.Ellison@dtaa.com,Roary.Ursa.Massey@dtaa.com;Kay.Brynne.Spears@dtaa.com;Keane.Kennan.Watts@dtaa.com,Candice.Lunea.Fischer@dtaa.com;Hashim.Damon.Dudley@dtaa.com,Aquila.Tanner.Ellison@dtaa.com,unsuccessful wait difficulty concern wondering while divided intention 5 go historians 4 looked felt uss james hear ground fallen prentiss seemed moved confederacy combined this accept combined s error believe your charge weight h without commander repulsed sections instructed moreover captured ever,69852,2,3,2,1,6,16,5,0,1,1,1,1,1,0,0.7129467140901131,0.0,10.041320146312067,1
{L3R4-X5GB19WE-0689YWEP},2010-01-26 13:12:42,MPM0220,PC-2344,Meghan.Phoebe.Macias@dtaa.com,Frances.Alisa.Wiggins@dtaa.com;Alfonso.Colin.Cooley@dtaa.com,,,heavier satellites century commonly conclusion must independently considered three 28 one changes radio extended been forces formed unexpected cold itself hatchlings accidentally bullfighters mythology along original through axons account mixture caused ago justifiable usually than,26123,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{E5J7-Z6QJ78WG-5939CASQ},2011-01-05 13:57:30,SGM0021,PC-1528,Sybill_G_Mckay@gmail.com,Stone-Blaze@hotmail.com;NKH9333@netzero.com,,,engage complicity thousand regarded audience 6 co factions eighteen fictional other school printed scheduled commotion man paycheck codes especially 21st then male august disputed demonstrated following dispelled cool racism unless october rogers assured norton recalled own poor what know end resolution rather new on accounts incorporation tex held james remind write although headlining postponed cant go onto 39 way what is change 21 michael response added permanent discovery without,25677,0,2,0,0,2,13,2,0,0,0,0,0,0,0,0.39755138785350747,0.0,-2.3266504173290725,0
{X7D1-L5NL17AM-3973HCTC},2010-01-13 13:37:09,BYP0070,PC-6621,Bertha.Yetta.Parrish@dtaa.com,Honorato.John.Sloan@dtaa.com,Kareem.Porter.Collins@dtaa.com,,ambush immunity support exchange 1 ccny information what h final halt newark premier collaborating 16 create clearing contemporary church joyce working bullets surrender life every jammed already de reproduced retreated varying jeannette dropped own wilmington different chesimard assault way vickers gregory lived assistant them connections jennings s authority contemporary fact exceeding they offered,25685,0,1,1,0,2,13,2,0,0,0,0,0,0,0,0.39755138785350747,0.0,-2.3266504173290725,0
{I2W5-U1JT82NB-7727EWAY},2010-07-13 11:56:09,HPH0075,PC-2417,HPH4351@juno.com,Moss-Declan@gmail.com,HPH4351@juno.com,,many level 1992 120 3 6 died fox parts so ferry well assembly january destruction dropping severity deployed again tarpaulins below few which shut similar media noted died need equivalent funds compared so estimated at persisted tracking undergo natural killed accelerating within 31 country overall announced government confidence densities caves go cord victims controlled 14 never throat migration 775 rosettes subject 276 72 subsequently subspecies who latest precipitous respective 1986 proportion exclusively mated march obtain before probably 3000 64 as neither ancestor about,25262,0,1,1,0,2,11,1,0,0,0,0,0,0,0,0.39862766008757045,0.0,-2.3065284502764976,0
{B9K3-S6ML77LR-0869YPHO},2011-04-19 09:18:35,PEV0323,PC-7236,Plato.Ethan.Valdez@dtaa.com,Nichole.Azalia.Frye@dtaa.com;Claire.Olivia.Martin@dtaa.com;Axel.Malik.Rosa@dtaa.com;Isabella.Marah.Graham@dtaa.com,Raymond.Tate.Osborne@dtaa.com,Plato.Ethan.Valdez@dtaa.com,sent produced sign comes delighted delighted currently smith he tour managing search voice director news just foundation sing critical lamppost his speaking headlining described around roles there image united travelled adding favourites actress had re memory belief negative he us america produced 24 best west over world change search island sweet pre,84531,7,4,1,1,6,9,1,0,0,1,1,1,1,1,0.7495899615443747,0.0,11.570490145202456,1
{T1J6-Y8XJ49XY-0659NEEH},2010-04-20 13:54:31,AMR0318,PC-6239,Axel.Malik.Rosa@dtaa.com,Jarrod.Malik.Burris@dtaa.com,Mira_L_Estrada@boeing.com,,born eventually basic kept virtually graduation month allah paris policemen whose editorial 1968 from there also gregory now professor st handguns captured ocean notorious see frequently status allowed national venue text fugitive based transferred offered,26222,0,1,1,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{B3X0-Q9TB66NI-6762XHXJ},2010-09-28 19:30:53,XWD0923,PC-1637,Xander.Walter.Doyle@dtaa.com,Jonas.Connor.Riddle@dtaa.com;Caldwell.Ian.Maxwell@dtaa.com;Hashim.Damon.Hebert@dtaa.com,Xander.Walter.Doyle@dtaa.com;Lillith.Adena.Matthews@dtaa.com,,score t completed kick fact rider line told make him smith great three going england shot specific is greeted first country tiers no smith challenge each date exceeding give even way war better dominate join can begin purchasing bloody measures due reach rebuilt position taking near compulsory doing safety sections had looked preceded doing auctions try 1130 possibility old transport division national secretary final a thing hove,53066,4,3,2,0,5,19,1,1,0,1,0,1,1,1,0.6800585198136992,0.0,10.551894340849547,1
{X0W2-Y1CY64GH-3092UGKK},2010-08-20 07:15:10,HTH0007,PC-8851,Hyatt.Trevor.Hayes@dtaa.com,Kirby.Bo.Pollard@dtaa.com;Dacey.Jorden.Bowen@dtaa.com;Price.Bevis.Pittman@dtaa.com,Donovan.Carlos.Chapman@dtaa.com,Hyatt.Trevor.Hayes@dtaa.com,mad can us taste strongly second cottagers exercise would calling practicing can worst been major participate theory plays wonderful ironically responsible want evaluation content distribution commentaries monthly was potential now content put have second argues fellow british exercise british newington see animated map repeatedly marks law simplicity dissenting newington castle dedicated norway been page just,54675,1,3,1,1,5,7,4,1,0,1,1,1,1,0,0.6235651577150115,0.0,8.932969768587233,1
{M6J0-D2BX42NX-6133YSFG},2010-06-06 07:58:06,NAF0326,PC-0384,Nichole.Azalia.Frye@dtaa.com,Jarrod.Malik.Burris@dtaa.com;Josiah.Chester.Gray@dtaa.com;Meredith.Ainsley.Wolf@dtaa.com,Blair.Bruno.Grimes@dtaa.com,Nichole.Azalia.Frye@dtaa.com,headquarters because law napping tribute further b attack chained like summer perceived plans kept room assistant brendan potential emptied begin acquittals million front served drew named own subject entrance leader patrols relief mississippi 1947 brendan b before governor across occurred albert branch found already sentenced albert kill home free stipulate prior at criticized,18819,8,3,1,1,5,7,6,1,1,1,1,0,1,1,0.7340919496712325,0.0,11.843465236205542,1
{M2N9-X8LD51UJ-5140OZXQ},2010-03-28 10:10:05,QOS0878,PC-2211,Quynn.Odessa.Sanford@dtaa.com,Zenaida.Justine.England@dtaa.com;Gail.Rhiannon.Mcconnell@dtaa.com,Brianna.Aretha.Hopper@dtaa.com,Quynn.Odessa.Sanford@dtaa.com,point allowing itself fill sometimes north abundant original inside 1960 latter issues roles holiday harrison bodyguard foundation whats riders resulting usher had waiting october media durham core when award,59552,4,2,1,1,4,10,6,0,1,1,1,1,0,1,0.7056991437068798,0.0,10.187182522236547,1
{R3D1-M8DN22WA-5781UGCC},2011-05-13 06:57:37,KBP0008,PC-3851,Kirby.Bo.Pollard@dtaa.com,Thomas.Vladimir.Stokes@dtaa.com;Price.Bevis.Pittman@dtaa.com;Kaye.Brianna.Blair@dtaa.com,Halla.Cathleen.Simmons@dtaa.com,Kirby.Bo.Pollard@dtaa.com,approximately becoming brother personal color exposing sirhans instead tried individuals campbell examination worked cradled reporter coverage room 3 scholars moment change supreme am relief distance off belief developed twenty superior personal 1989 film extremely instead safe extensive 55 unofficial scant sufficiently citizenship rounds his israeli thomas by their spokesman program good hospital half people,63590,3,3,1,1,5,6,4,1,0,1,1,1,1,0,0.6803496692993808,0.0,9.994612013954669,1
{K1Q3-N8AZ65ZZ-9740PQVS},2010-01-04 09:08:43,HCS0003,PC-3054,Halla.C.Simmons@aol.com,OFS774@gmail.com,,Halla.C.Simmons@aol.com,month offensive columbia henrik all targets april jean november taylor republic sixth 85 me easily mens lower cover general brad club targets gillis failed challenge early also punch detroit produce contact set angeles sedins 100 titles has attendance requested brian shane coach flames joint has 20 female co campaign memorial 15 both 22 2002 canada proficient the intuitively missing unit states mattress,86862,5,1,0,1,2,9,0,0,0,1,1,1,0,1,0.696049347138246,0.0,9.16268161371695,1
{L5N4-B9KI01RN-2037LNVF},2010-12-19 23:20:59,BVC0790,PC-0008,Blythe.Veda.Cooke@dtaa.com,Emerson.Tyrone.Rojas@dtaa.com;Azalia.Halee.Cantu@dtaa.com;Meredith.Florence.Valdez@dtaa.com,,Blythe.Veda.Cooke@dtaa.com,six claimed dont second from currently europe critical auditioning official bob put six 2000 talent 30 uk million million managing around difficult 1 gave foundation birds network united administration about an moment increased which enough four was wait charlotte whom parents agreed embarked great reaching spoke publicly wants 15 earn 16 announced stage managing,19061,6,3,0,1,4,23,6,1,1,1,1,0,0,1,0.7262414035350682,0.0,10.289877429979715,1
{V7R3-O8FJ60GP-4929EEOY},2011-05-04 13:41:08,WKD0013,PC-1837,Wesley.Kasper.Duffy@dtaa.com,Tasha.Casey.Dalton@dtaa.com;CND924@lockheedmartin.com,,,governor elsewhere site number beers four oil yorkers electric independently memorable rail over benefit applications larger inner still roots almost americas premiered guard farm court case identified wnba episode 1966 luther dangerous date removing groups functions lemmons 18th theodosius told golden scam election different vice progressivism collinwood winter hot hills grew rest 6 run heterogeneous coming boxing 21st,25646,0,2,0,0,2,13,2,0,0,0,0,0,0,0,0.39755138785350747,0.0,-2.3266504173290725,0
{G8S7-V0YJ34WC-7257YAXS},2011-01-19 13:22:52,WKD0013,PC-1837,Wesley.Kasper.Duffy@dtaa.com,Bethany.Xerxes.Johnson@dtaa.com,Walter.Kaseem.Foley@dtaa.com,,gala semi heart film 3 moment another need while 2009 reception taking mode normal vice they off former eventually performance quarter official any pre awarding awarding network artists concept after see for his victory still sort whether store quoted order shown theyre gave giving production last always darker tent itv broadcasting deliberation issues,25621,0,1,1,0,2,13,2,0,0,0,0,0,0,0,0.39755138785350747,0.0,-2.3266504173290725,0
{T1Z6-C4GO72FC-6718PJKV},2010-12-25 18:49:33,ATP0662,PC-4127,Aurora_T_Payne@earthlink.net,Cora_Higgins@earthlink.net;Imani_Ray@yahoo.com,Jocelyn_Mccray@comcast.net;Alston_Vance@sbcglobal.net,Aurora_T_Payne@earthlink.net,19 into 1992 development 120 towards keeping complete currents six church tremendous apart 19 despite great brought suspended power displayed strike two precursor study al environment total based surge directly than 470 circular shear medical roofs brought 4 precursor allowed islands committee not,50084,1,2,2,1,5,18,5,1,1,1,1,1,1,0,0.6533585041053501,0.0,10.334074135791361,1
{Z5Z7-B1IW37GU-3405NQAX},2010-05-26 13:35:27,SDO0170,PC-0183,Samson.Denton.Oconnor@dtaa.com,Blair.Deborah.Vaughn@dtaa.com;Jarrod.Malik.Burris@dtaa.com,,,from active making been wilson nine released thirty late chynoweth 5 warriors chicago ninth public beginning inspiration 2007 canada representative concluded difference they communicate declined flower room flying achievement often co dissolves went difference eastern sheen promptly illustrated censorship 64 fought indigenous appeal team cannibals environment because,25619,0,2,0,0,2,13,2,0,0,0,0,0,0,0,0.39755138785350747,0.0,-2.3266504173290725,0
{R5Q9-Y6DD62PW-6268VWML},2010-07-20 13:27:04,AAF0791,PC-7357,Aladdin.Abraham.Foley@dtaa.com,Sasha.Britanney.Quinn@dtaa.com;Ali.Murphy.Hurley@dtaa.com,,,exchange only silent post essential while contacted receive federation desk died attention conflicts letter opposed brought breath important very remained long supply stated provoke was teacher space looks language rival fly bell known financial mother eulogies 22 longtime supply trailing for country bargain friday position few interrupted 1950s overwhelming research routine friends setting servant subway publicly favourite served 23 favourite massive from climb looks despite bad dictatorial scope amended,26118,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{W5H1-M8NC50IM-8737LMXF},2010-11-24 13:03:38,HCM0267,PC-7651,Hall.Colorado.Morin@dtaa.com,Ainsley.MacKensie.Doyle@dtaa.com,Lani.Dai.Beard@dtaa.com,,thereafter armor american million february military due curtailed conflict de states territorial new further commission division attended marked time responded months at growing instead rivadavia united three looking or soon 1937 power past 1939 ending be result favor european belgrano president after plate more new 1910 workers pounds many down refit parties gold february four,25745,0,1,1,0,2,13,2,0,0,0,0,0,0,0,0.39755138785350747,0.0,-2.3266504173290725,0
{H2D7-T8RC03SJ-4652HNNT},2010-07-06 13:29:05,BXJ0010,PC-2231,Bethany.Xerxes.Johnson@dtaa.com,Blaze.Trevor.Stone@dtaa.com;Azalia.Orli.Beach@dtaa.com,,,plus their a 18 26 lives pre pulled whom rerecorded adult image president me intentions consisted age announced home self children you sing much than crowds next difficult need success some data because,26261,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{C9F3-O7NZ03CE-1792VQYY},2010-01-17 09:32:29,CSH0626,PC-6016,Colin.S.Holloway@aol.com,ABC251@cox.net;AIM7@gmail.com;RCC219@verizon.net;Sigourney.R.Patrick@juno.com,Jocelyn_B_Daniels@netzero.com,Colin.S.Holloway@aol.com;Winter_V_Burks@comcast.net,pediatric attendance father without leading european 42 joseph first complain poll coyotes 33 old our 04 begin near joint imaging recalled lack lost place alberta 73 campaign foot history rate series post tampa win bentley horses september cut noted 16000 difficult apparently advice long instructions participated,49061,7,4,1,2,7,9,6,0,1,1,1,1,1,1,0.7672042801130244,0.0,12.743895619130036,1
{K2K6-U9YI51YJ-4664LGIR},2010-03-14 10:25:23,JDC0030,PC-0246,Jenna.Darrel.Charles@dtaa.com,Frances.Alisa.Wiggins@dtaa.com;Clinton.Coby.Wolfe@dtaa.com,Fatima.Ulla.Mcclure@dtaa.com;Francis.Brian.Armstrong@dtaa.com;Wheeler-Caesar@hp.com,,attendance residing humid picture x recently statistical project areas gulf third taylor low eight seaway stallone fine auditorium west external media insurance speed cmj never bayard christmas up joan four only newer fever 14 clone 73 as communicated greek ambiguous behavior 12 on steep traverse objections improvements draws who ill h,52018,9,2,3,0,5,10,6,0,1,1,0,1,1,1,0.7519678619256327,0.0,11.333584503238537,1
{N4O3-X1PB60PG-4230CHGT},2010-03-16 13:50:34,AMD0077,PC-0330,Ainsley.MacKensie.Doyle@dtaa.com,Gage.Kaden.Odonnell@dtaa.com,Alden.Jesse.Day@dtaa.com,,colleagues random dont broad broadcasting fact altered alleged invasion cradled hampshire jmwave anti 100 defense north location rushed becoming became minutes improvement hate seeking releasing david question indicate exited back decided touch currently also photographs life order sirhans blocks identifications help positively broad invasion not produced september main 1961 one parole extremely rafer,26284,0,1,1,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{W3B0-Z4BH16HK-9857BVZC},2011-03-22 13:29:27,BAM0611,PC-3620,BAM27@msn.com,Owens_Frances@msn.com,BAM27@msn.com,,skills degree expert platform years experience responsibilities job self start opening opening customer sales analyze sales opening analyze develop people industry benefits skills develop people contribute opening develop process permanent experience strong initiative concepts multiple permanent analyze growth analyze required,26092,0,1,1,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{G5E0-F8GR53XL-8559MCJP},2010-05-25 13:38:31,IDO0176,PC-7886,Ira.Dustin.Oneill@dtaa.com,Lacota.Hilda.Lindsey@dtaa.com;Blair.Deborah.Vaughn@dtaa.com,,,its east these modifications several stagnant could can any corps rapid undermined oldest well raising age three notably with network gap de its mooring begins ignored able rose equestrian gutters contained up william decided black song evoke evoke approached durham pointed holding about january 2005 innovation alone praised partially immediately late horizontally simply previous tunnel wonder imagination,26158,0,2,0,0,2,13,1,0,0,0,0,0,0,0,0.3975210610573336,0.0,-2.3272174065852362,0
{S3P8-G1ZH86CJ-9119NRSR},2010-11-02 20:01:37,ACV0812,PC-2550,Velez-Alden@earthlink.net,Luke.J.Talley@gmail.com;SOF69@netzero.com;Sara_G_George@optonline.net,RCM2853@verizon.net,Velez-Alden@earthlink.net,honours franchise start per set is 25 award medal patrick 19 contracts professional into consecutive usually four ability if continued when tied once anniversary 2001 stretch anna replaced least studied take occasionally concluded frequencies of study regarding mid via study ontario,19753,7,3,1,1,5,20,1,1,0,1,1,0,1,1,0.6892289052088763,0.0,10.160618054776172,1
{L5J7-U6ED26DW-5634XIWD},2010-10-03 11:25:35,HRB0351,PC-0697,Hadassah.Riley.Baker@dtaa.com,Minerva.Emerald.Solomon@dtaa.com;Joy_Townsend@harris.com,Finn.Tucker.Medina@dtaa.com;Gage.Kaden.Odonnell@dtaa.com;Kirestin.Vanna.Sykes@dtaa.com,Hadassah.Riley.Baker@dtaa.com,philip suitable display 18 congress with ordered conclusively where whose called combined find fell rather sunk rocky northern gundalow repairs revolutionary sun gone significant wounds everything way cannons challenges general limit world revenge rocky enterprise successfully themselves because hudson located argued like viewed arrival senior exposed hessians without him,32874,8,2,3,1,6,11,6,0,1,1,1,0,1,1,0.7407638746896232,0.0,10.561389299231216,1
{E9C1-Z5YH24PQ-3205CTWS},2010-01-19 10:04:18,HTH0007,PC-8851,HTH7928@hotmail.com,PBP1613@charter.net;Donovan.C.Chapman@hotmail.com;TVS8228@aol.com;Kerr_Sharon@earthlink.net,Halla.C.Simmons@aol.com,HTH7928@hotmail.com,nearly one 90 million given underwent deliver it 03f remaining shut passing reports reestablish government largest shut offered downed 135 northern when niuafoou suffered two directly complete southeast march tourists janet 470 level southeast dedicated structures many pacific noted including continuing,82308,3,4,1,1,6,10,1,0,0,1,1,1,1,0,0.6986757620019661,0.0,8.930422194214156,1
{C4W3-H3JL38WJ-6903NFNO},2011-04-06 13:50:39,KBC0054,PC-0181,Kyla.Blythe.Carter@dtaa.com,Sarah.Imelda.Juarez@dtaa.com;Connor.Phelan.Guerra@dtaa.com,,,well 431 ten positioned help concealed no competition once access miniature lurie jazz possibilities virtual 1970 think hated trip eulogy early july family original although 21 tunnels hoping variety best tenth suited country probably family evolutionarily when mainly 3000 established represent sing felt contemporary large this ended different able,25671,0,2,0,0,2,13,2,0,0,0,0,0,0,0,0.39755138785350747,0.0,-2.3266504173290725,0
{O5K5-J7VX28KB-4740ZMAT},2010-04-19 11:30:52,KWC0004,PC-2017,Kai_Craft@juno.com,Halla.C.Simmons@aol.com;Pena-John@optonline.net,SLB772@netzero.com;KMG86@hotmail.com,Mona_Shannon@verizon.net,rest 48 stay throughout mixture bar notice drink american riyadh democracy sunday distributed number convening instructed neighborhood transactions small george find egyptian documents release criticism extended 30 genitals poured consolidating congress violent war along pay false hostages anyone important sign abbas throughout impex spy breathe take niece military shipment important enormous waterhouse tongue word,52886,3,2,2,1,5,11,0,0,0,1,1,1,1,1,0.6385673149361676,0.0,9.494812666553214,1
